valence,year,acousticness,danceability,duration_min,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,decade,first_artist,key_mode
0.8240000000000001,1991,0.0341,0.68,4.22655,0.701,0,0.00479,C,0.114,-10.46,Major,The Best - Edit,71,0.0275,103.789,1990s,Tina Turner,C - Major
0.903,1991,0.00189,0.711,4.48845,0.951,0,0.366,C#,0.0229,-8.406,Major,Good Vibrations,61,0.0537,121.656,1990s,Marky Mark And The Funky Bunch,C# - Major
0.135,1991,0.000295,0.4,4.198883333333334,0.82,0,0.79,B,0.236,-12.281,Major,When You Sleep,58,0.0466,128.894,1990s,My Bloody Valentine,B - Major
0.774,1991,0.0326,0.848,4.517783333333333,0.838,0,4.63e-06,E,0.124,-11.949000000000002,Minor,O.P.P,62,0.0723,97.735,1990s,Naughty By Nature,E - Minor
0.263,1991,0.862,0.226,2.887783333333333,0.136,0,8.07e-06,F,0.302,-19.203,Minor,Smile,65,0.0327,79.37,1990s,Nat King Cole,F - Minor
0.551,1991,0.0985,0.672,5.949333333333334,0.52,0,1.28e-06,G,0.0365,-9.965,Minor,Breakin' My Heart (Pretty Brown Eyes),57,0.0407,137.213,1990s,Mint Condition,G - Minor
0.302,1991,0.153,0.529,5.347783333333333,0.662,0,0.00542,F,0.099,-11.745,Major,Right Now,57,0.0273,93.93,1990s,Van Halen,F - Major
0.263,1991,3.69e-06,0.262,3.0673333333333335,0.969,0,0.00213,E,0.133,-4.675,Major,Breed,58,0.0894,158.433,1990s,Nirvana,E - Major
0.7929999999999999,1991,0.0495,0.6409999999999999,2.8511166666666665,0.637,0,0.000138,G,0.267,-10.92,Major,Don't Rock the Jukebox,60,0.0262,147.502,1990s,Alan Jackson,G - Major
0.266,1991,1.65e-05,0.307,4.4366666666666665,0.917,0,0.00044,A,0.0566,-7.599,Major,Rusty Cage,62,0.0977,101.879,1990s,Soundgarden,A - Major
0.4270000000000001,1991,0.4370000000000001,0.6709999999999999,3.3926666666666665,0.445,0,0.0,D,0.121,-10.042,Minor,Me Estoy Enamorando,64,0.0309,141.945,1990s,La Mafia,D - Minor
0.8440000000000001,1991,0.187,0.5720000000000001,4.45,0.721,0,7.41e-06,F,0.216,-8.959,Major,Every Time You Go Away - Radio Edit,71,0.0402,164.252,1990s,Paul Young,F - Major
0.622,1991,0.0558,0.6,3.2686,0.8109999999999999,0,6.82e-06,F,0.109,-7.693,Major,All I Want,59,0.0788,124.303,1990s,Toad The Wet Sprocket,F - Major
0.805,1991,0.0313,0.452,3.763116666666667,0.909,0,0.0603,A,0.23,-3.977,Major,Shiny Happy People,72,0.0366,124.623,1990s,R.E.M.,A - Major
0.54,1991,0.884,0.83,2.89755,0.382,0,0.301,D,0.11,-11.231,Minor,Polly,58,0.0566,121.12,1990s,Nirvana,D - Minor
0.939,1991,0.0409,0.74,4.134883333333334,0.752,0,0.00125,A,0.0233,-7.007999999999999,Minor,Emotions,63,0.0359,114.851,1990s,Mariah Carey,A - Minor
0.93,1991,0.422,0.679,4.044,0.568,0,0.00928,F#,0.322,-10.74,Major,It Ain't Over 'Til It's Over,70,0.0423,159.69,1990s,Lenny Kravitz,F# - Major
0.386,1991,0.197,0.463,4.718883333333333,0.325,0,0.0,B,0.0641,-14.762,Major,Hacer El Amor Con Otro,66,0.0301,135.72799999999998,1990s,Alejandra Guzman,B - Major
0.472,1991,0.199,0.5329999999999999,3.038,0.585,0,0.0,E,0.11,-9.789,Major,You've Got to Stand for Something,57,0.0337,83.40299999999998,1990s,Aaron Tippin,E - Major
0.8029999999999999,1991,0.000722,0.769,4.204,0.675,1,0.000149,F#,0.0904,-13.326,Major,How I Could Just Kill a Man,62,0.0724,101.884,1990s,Cypress Hill,F# - Major
0.705,1991,0.000617,0.623,3.618883333333333,0.936,1,9.86e-05,C,0.269,-9.955,Major,Suck My Kiss,64,0.0528,101.514,1990s,Red Hot Chili Peppers,C - Major
0.633,1991,0.112,0.795,4.1688833333333335,0.6,0,0.000171,D,0.111,-14.004,Major,Scenario,59,0.341,101.78,1990s,A Tribe Called Quest,D - Major
0.145,1991,0.851,0.307,3.5151166666666667,0.289,0,0.000126,F,0.0798,-13.369000000000002,Major,Unforgettable (Duet with Nat King Cole),64,0.0281,85.948,1990s,Natalie Cole,F - Major
0.469,1991,0.0455,0.677,4.516216666666667,0.54,0,1.84e-06,G,0.845,-14.439,Major,Summertime,61,0.0627,95.116,1990s,DJ Jazzy Jeff & The Fresh Prince,G - Major
0.284,1991,0.303,0.556,4.35445,0.388,0,1.02e-06,E,0.0468,-12.742,Major,Copperline,57,0.0291,148.783,1990s,James Taylor,E - Major
0.552,1991,0.404,0.703,4.182216666666666,0.616,0,0.000943,F#,0.24,-8.097999999999999,Major,Me And You,55,0.0558,71.689,1990s,Tony! Toni! Toné!,F# - Major
0.7929999999999999,1991,0.5720000000000001,0.738,1.8866666666666667,0.451,0,0.0,G,0.175,-12.949000000000002,Major,Love Potion No. 9 - Remastered / Single Version,58,0.146,128.85299999999998,1990s,The Clovers,G - Major
0.7120000000000001,1991,0.237,0.723,4.766883333333333,0.594,0,0.0,C,0.147,-12.013,Major,Chiquilla Bonita,61,0.0248,105.453,1990s,Los Bukis,C - Major
0.3229999999999999,1991,0.0087599999999999,0.35,5.727333333333333,0.985,0,0.551,A#,0.36,-5.676,Minor,You Could Be Mine,69,0.122,151.007,1990s,"""Guns N Roses""",A# - Minor
0.789,1991,0.247,0.752,3.252,0.731,0,0.0,D,0.368,-4.723,Major,Él Soy Yo,61,0.0326,77.97800000000002,1990s,Samuray,D - Major
0.175,1991,0.414,0.306,4.63045,0.6859999999999999,0,0.0,B,0.112,-6.928,Minor,The Show Must Go On - Remastered 2011,56,0.0347,83.402,1990s,Queen,B - Minor
0.927,1991,0.014,0.515,3.8786666666666663,0.903,0,0.0218,C,0.38,-8.832,Major,Little Miss Can't Be Wrong,57,0.0443,116.44,1990s,Spin Doctors,C - Major
0.393,1991,0.00362,0.531,4.744883333333333,0.917,0,0.000347,C,0.239,-8.033,Major,Feed My Frankenstein,59,0.0554,101.829,1990s,Alice Cooper,C - Major
0.376,1991,0.317,0.402,3.798666666666666,0.8170000000000001,0,0.0,C#,0.105,-3.756,Major,Beautiful Mess,55,0.0406,177.342,1990s,Diamond Rio,C# - Major
0.49,1991,0.92,0.535,2.56445,0.24,0,0.0,A#,0.111,-15.198,Major,Orange Colored Sky,59,0.085,128.547,1990s,Nat King Cole,A# - Major
0.243,1991,0.2,0.476,3.8511166666666665,0.363,0,0.0,C#,0.055,-10.706,Major,When a Man Loves a Woman,69,0.0296,164.555,1990s,Michael Bolton,C# - Major
